iter,cost,gradnorm,stepsize,time,accepted,linesearch,hooked
0,660.797514834921,53.8244196024799,NaN,0.0446447,NaN,,NaN
1,265.947347605276,23.0152809791209,26.91220980124,0.1987846,1,,NaN
2,214.380636293875,7.3017161596836,6.17657546775332,0.3890345,1,,NaN
3,211.124280928008,4.24632223812892,2.04090078204123,0.6222326,1,,NaN
4,209.329400378555,0.75179143854552,0.916433800421364,0.8510461,1,,NaN
5,209.276997396588,0.195592943117646,0.186775603129671,1.1158982,1,,NaN
6,209.273171431889,0.00334253692804219,0.0391711960691836,1.4117054,1,,NaN
7,209.27317031755,0.000171410760229949,0.00069739843697081,1.7730859,1,,NaN
8,209.273170314621,9.08366617090125e-06,3.52166743237082e-05,2.1352745,1,,NaN
9,209.273170314612,5.93001410506639e-07,1.91808480258797e-06,2.5676481,1,,NaN
