iter,cost,gradnorm,stepsize,time,accepted,linesearch,hooked
0,-387.446825253128,81.4426664262224,NaN,0.0930316,NaN,,NaN
1,-888.70973322776,63.8454081683622,10.1803333032778,0.1807257,1,,NaN
2,-1116.2357722571,44.6632442025707,13.4613277646503,0.2092109,1,,NaN
3,-1208.99628706384,34.2702405393643,10.8519037936963,0.2373955,1,,NaN
4,-1255.80105264084,26.6286026192458,4.51118722319849,0.2779964,1,,NaN
5,-1274.1823040681,23.8684817235373,2.21088540887085,0.3166212,1,,NaN
6,-1278.26334032524,21.9885064708098,1.59507233492629,0.3449015,1,,NaN
7,-1282.6621920343,21.7110934519088,1.4471773584336,0.373413,1,,NaN
8,-1283.25309284243,21.4389659679617,0.543757431734617,0.4102329,1,,NaN
9,-1300.01608670424,7.2097432829165,2.49106701102267,0.4453681,1,,NaN
10,-1301.21393537887,5.12421110870206,0.707033719334549,0.468817,1,,NaN
11,-1302.55323125186,0.796612787884469,0.495391524549503,0.4896205,1,,NaN
12,-1302.5847931004,0.0774686928664869,0.0732499929047614,0.5126705,1,,NaN
13,-1302.585092984,0.000448203292152462,0.0077604441539388,0.5354683,1,,NaN
14,-1302.58509299404,1.3894135341914e-05,4.59335427899748e-05,0.5614155,1,,NaN
15,-1302.58509299405,1.45267855625495e-07,1.39752245929585e-06,0.5885232,1,,NaN
