Iterate     Gradient norm        Step length      Direction    F. eval.
     0      2.618256909911e+00 -1.000000000000e+00                  0
     1      2.236966807820e+00 +5.000000000000e-01     new          3
     2      5.894844306393e-01 +1.000000000000e+00     new          2
     3      1.527175990511e-01 +1.000000000000e+00     new          2
     4      3.737819664731e-02 +1.000000000000e+00     new          2
     5      8.264723667557e-03 +1.000000000000e+00     new          2
     6      1.916038209104e-03 +1.000000000000e+00     new          2
     7      3.316441842046e-04 +1.000000000000e+00     new          2
     8      4.136269631034e-05 +1.000000000000e+00     new          2
     9      4.028467809936e-05 +6.250000000000e-02     new          6
    10      3.922905073246e-05 +6.250000000000e-02     new          6
    11      3.819171750872e-05 +6.250000000000e-02     new          6
    12      3.716936643921e-05 +6.250000000000e-02     new          6
    13      3.615940473355e-05 +6.250000000000e-02     new          6
    14      3.515988952101e-05 +6.250000000000e-02     new          6
    15      3.416945677809e-05 +6.250000000000e-02     new          6
    16      3.318724992382e-05 +6.250000000000e-02     new          6
    17      3.221284967284e-05 +6.250000000000e-02     new          6
    18      3.124620640896e-05 +6.250000000000e-02     new          6
    19      3.028757605412e-05 +6.250000000000e-02     new          6
    20      3.027514465466e-05 +1.250000000000e-01     new          5
    21      2.986850626736e-05 +1.250000000000e-01     new          5
    22      2.913946205571e-05 +1.250000000000e-01     new          5
    23      2.815535319096e-05 +1.250000000000e-01     new          5
    24      2.697744437066e-05 +1.250000000000e-01     new          5
    25      2.566003814729e-05 +1.250000000000e-01     new          5
    26      2.425014964559e-05 +1.250000000000e-01     new          5
    27      2.278759485493e-05 +1.250000000000e-01     new          5
    28      2.255680807026e-05 +2.500000000000e-01     new          4
    29      2.100615210608e-05 +2.500000000000e-01     new          4
    30      1.879858426984e-05 +2.500000000000e-01     new          4
    31      1.844686510944e-05 +5.000000000000e-01     new          3
    32      1.396380630993e-05 +5.000000000000e-01     new          3
    33      1.001190756713e-05 +1.000000000000e+00     new          2
    34      2.152776535186e-06 +1.000000000000e+00     new          2
    35      5.219812494613e-07 +1.000000000000e+00     new          2

