      0   3.16109564157097455706e+00    -1.00000000000000000000e+00  0.0000000000e+00       
      1   5.48216223360517229679e-01     1.42599033715211516392e-15  1.0000000000e+00    new
      2   3.96008007645334447755e-01     1.54669859251729041578e-14  1.0000000000e+00    new
      3   3.47865165351546878902e-01     3.22126438488394732537e-15  5.0000000000e-01    new
      4   3.26528353678681659833e-01     2.22400297249365805740e-15  5.0000000000e-01    new
      5   3.20731058084781250894e-01     1.56891242844722694996e-12  6.2500000000e-02   grdt
      6   2.10726681816609057174e-01     2.23942485487300830818e-15  5.0000000000e-01    new
      7   1.83782047519450514317e-01     7.89977306213435904347e-15  1.2500000000e-01    new
      8   1.50032017040767517990e-01     2.56081199491121047949e-15  2.5000000000e-01    new
      9   1.44634067679430822206e-01     1.58490741545887015645e-15  1.2500000000e-01    new
     10   1.48133061329754622815e-01     6.18975047935505394995e-14  7.8125000000e-03    new
     11   1.27507994956083031690e-01     1.01065353772100778240e-15  1.0000000000e+00    new
     12   1.20149816612576315622e-01     2.44302027021278690349e-15  5.0000000000e-01    new
     13   1.13070500507725588135e-01     3.17589106739335608919e-15  1.2500000000e-01    new
     14   7.06180747724137469756e-02     1.86397708239023878195e-16  1.0000000000e+00    new
     15   2.65367050099360075877e-02     2.26976195074631504410e-16  1.0000000000e+00    new
     16   2.63072193451753394422e-02     4.68645619251730556357e-15  7.8125000000e-03    new
     17   2.59533484001316198941e-02     1.33895741002951251053e-15  3.1250000000e-02    new
     18   1.17860867094437011399e-02     4.27040973521307404579e-16  5.0000000000e-01    new
     19   4.01681875088688404574e-03     2.53710409611845537375e-16  1.0000000000e+00    new
     20   4.04785716402026804484e-03     1.17056870534857657541e-15  7.8125000000e-03    new
     21   4.06078237666682509421e-03     1.02317790639474116038e-15  7.8125000000e-03    new
     22   4.05900565963062190389e-03     1.90956442509274263282e-15  7.8125000000e-03    new
     23   4.04839766562754225371e-03     3.76872036231789911771e-16  7.8125000000e-03    new
     24   4.03250058207209327588e-03     6.91230317782890682398e-16  7.8125000000e-03    new
     25   4.01971087465974232650e-03     7.33883529623075417048e-16  1.5625000000e-02    new
     26   3.99108282626798108184e-03     2.53529240599111743138e-16  1.5625000000e-02    new
     27   3.97045667080820653683e-03     3.64240898295285895641e-16  3.1250000000e-02    new
     28   3.91251768416372297521e-03     2.85196972642328190138e-16  3.1250000000e-02    new
     29   3.86290052528763744669e-03     2.25756302188352136833e-16  6.2500000000e-02    new
     30   3.73839338074236342963e-03     1.48684532238839170821e-16  6.2500000000e-02    new
     31   3.60240092168370631270e-03     1.84669391824776171746e-16  1.2500000000e-01    new
     32   3.48015533298062047438e-03     1.31662853170466572825e-16  2.5000000000e-01    new
     33   2.99709240869358095952e-03     1.17087904081039047928e-16  5.0000000000e-01    new
     34   8.18275255205820487361e-04     2.50826619748882307412e-17  1.0000000000e+00    new
     35   3.21416876290567588340e-05     3.66875108696862850989e-18  1.0000000000e+00    new
     36   3.46695079807949646597e-08     2.67485984108789298629e-19  1.0000000000e+00    new
     37   1.90266477487006905308e-12     1.48156690023997416127e-21  1.0000000000e+00    new
     38   1.61648484895447359895e-14     2.97589797133870753396e-26  1.0000000000e+00    new
