      0   3.16109564157097455706e+00     1.00000000000000000000e+00     0.0000000000e+00      
      1   2.97095267611566660193e+00     1.42599033715211516392e-15     1.5625000000e-02   grd
      2   1.55039849174254662501e+00     1.05481765255687300465e-15     7.8125000000e-03   grd
      3   3.06614968383153274623e-01     6.11344239047822716460e-16     1.0000000000e+00   new
      4   2.94076466797398738962e-01     3.61567001445451198981e-15     1.5625000000e-02   grd
      5   2.62744345837262138765e-01     2.58399969956581474036e-15     7.8125000000e-03   grd
      6   2.51249517511803022174e-01     1.36709152015553321283e-15     7.8125000000e-03   grd
      7   2.43993485800528819851e-01     2.32922083095270559869e-15     7.8125000000e-03   grd
      8   2.39088901500701028757e-01     1.63178392995620258476e-15     7.8125000000e-03   grd
      9   2.35783318982336148606e-01     1.09068627905154746372e-15     7.8125000000e-03   grd
     10   2.33718203341345354129e-01     1.71201529248218793447e-15     7.8125000000e-03   grd
     11   2.32743273066864569953e-01     1.04957495327570419372e-15     7.8125000000e-03   grd
     12   1.82924376434739938135e-01     1.99590620029163676684e-15     3.9062500000e-03   grd
     13   1.77411188913501244313e-01     2.95337277042145209430e-15     3.1250000000e-02   grd
     14   1.77074073681553534332e-01     1.65461265095638103667e-15     7.8125000000e-03   grd
     15   1.71045359093594195876e-01     2.10492604874812112084e-15     3.9062500000e-03   grd
     16   1.68176434585554895884e-01     2.75601363424418026366e-15     3.1250000000e-02   grd
     17   1.64630136123273929094e-01     2.27513948214849050493e-15     3.9062500000e-03   grd
     18   1.63756963350446899108e-01     1.10402664583076157530e-15     6.2500000000e-02   grd
     19   1.55664373272964673411e-01     1.49131493407065743128e-15     3.9062500000e-03   grd
     20   1.54818250558115544369e-01     1.16476656951268020775e-15     1.5625000000e-02   grd
     21   1.54391585410570547632e-01     1.76335790065365458882e-15     7.8125000000e-03   grd
     22   1.54140124262416133849e-01     1.95963031963171259099e-15     7.8125000000e-03   grd
     23   1.54126607597139447803e-01     1.05041434567798458232e-15     7.8125000000e-03   grd
     24   1.51333048113222484732e-01     1.52100797507630652340e-15     3.9062500000e-03   grd
     25   1.49878519342007743287e-01     2.08927403959117144455e-15     3.1250000000e-02   grd
     26   1.49824296845902676933e-01     1.38792045342396496763e-15     7.8125000000e-03   grd
     27   1.47462445005299480627e-01     1.52221779425485432963e-15     3.9062500000e-03   grd
     28   8.88693095934250665291e-02     7.91245402165303010488e-16     1.0000000000e+00   new
     29   8.69170087260540402685e-02     2.37063744321466288516e-15     3.1250000000e-02   grd
     30   8.64989670023305068369e-02     2.89811434776471181960e-15     1.5625000000e-02   grd
     31   8.62942757083989403499e-02     2.02928395489853137569e-15     7.8125000000e-03   grd
     32   8.61169975848954383224e-02     4.92307382474756751384e-15     7.8125000000e-03   grd
     33   8.59611027036597669104e-02     2.06201827678065809523e-15     7.8125000000e-03   grd
     34   8.58267854157897386314e-02     3.20404750697981340845e-15     7.8125000000e-03   grd
     35   8.57167060981253586815e-02     4.04888796510434083571e-15     7.8125000000e-03   grd
     36   8.56349481776229604080e-02     2.24993835622595367805e-15     7.8125000000e-03   grd
     37   8.55868031080442154268e-02     3.91394416604720880146e-15     7.8125000000e-03   grd
     38   8.55788392664062341764e-02     2.45569692066244141843e-15     7.8125000000e-03   grd
     39   8.42909361324869765841e-02     4.17524596901183189705e-15     3.9062500000e-03   grd
     40   8.33821724226636584731e-02     1.83513684993056550052e-15     6.2500000000e-02   grd
     41   8.33572343319511077642e-02     2.46858167342155171317e-15     7.8125000000e-03   grd
     42   8.22704365154718619824e-02     3.28182774287130059216e-15     3.9062500000e-03   grd
     43   8.20347781655061669692e-02     3.34753503452134293360e-15     1.2500000000e-01   grd
     44   7.90377791031995069471e-02     3.86458628612446346405e-15     3.9062500000e-03   grd
     45   7.87681869623428621008e-02     2.27575908440891312339e-15     3.1250000000e-02   grd
     46   7.86940410684152102938e-02     3.82814944195729938835e-15     7.8125000000e-03   grd
     47   7.86428694944017736557e-02     3.30242182050559219111e-15     7.8125000000e-03   grd
     48   7.86193886195746260981e-02     2.56551461271190037334e-15     7.8125000000e-03   grd
     49   7.77246636081546232733e-02     2.13644145722467827088e-15     3.9062500000e-03   grd
     50   7.74879818036428164030e-02     1.78851895685704395905e-15     1.2500000000e-01   grd
     51   7.49997900588855459514e-02     1.96484459524724612128e-15     3.9062500000e-03   grd
     52   7.47651902119214478715e-02     3.49401676876351625917e-15     3.1250000000e-02   grd
     53   7.47011458852609583348e-02     1.60663287213050160759e-15     7.8125000000e-03   grd
     54   7.46564779143270990103e-02     4.56160447336667670191e-15     7.8125000000e-03   grd
     55   7.46351866753490467143e-02     3.63742251903627406124e-15     7.8125000000e-03   grd
     56   7.38837625469756370533e-02     1.48249014710476306405e-15     3.9062500000e-03   grd
     57   7.36679026842255862961e-02     2.33033686401033582301e-15     1.2500000000e-01   grd
     58   7.15641093136836492494e-02     2.31199490008098626521e-15     3.9062500000e-03   grd
     59   7.13625289602057011340e-02     2.04655202941500493527e-15     3.1250000000e-02   grd
     60   7.13077034159434602900e-02     2.47297990785161208910e-15     7.8125000000e-03   grd
     61   7.12694805291549382531e-02     1.80455968985580287030e-15     7.8125000000e-03   grd
     62   7.12512974081360717094e-02     3.06531716261065627909e-15     7.8125000000e-03   grd
     63   7.06104563691241499113e-02     2.15535161268702581880e-15     3.9062500000e-03   grd
     64   7.04318374289226029061e-02     2.00313561314473724692e-15     1.2500000000e-01   grd
     65   6.86271377366702295397e-02     1.63209076122278086910e-15     3.9062500000e-03   grd
     66   5.97368992143246166360e-02     9.74184837681029281688e-16     1.0000000000e+00   new
     67   4.74219366007189238599e-02     6.03919143783910385292e-16     1.0000000000e+00   new
     68   2.51790597099839294493e-02     4.43557946781996137403e-16     1.0000000000e+00   new
     69   2.46390613648300241256e-02     2.52014012521794367275e-15     1.0000000000e+00   grd
     70   2.46290586287584191416e-02     1.51668390906858099477e-15     1.5625000000e-02   grd
     71   2.46269075818598207062e-02     2.00514571736141275286e-15     7.8125000000e-03   grd
     72   2.46254915700591971162e-02     3.29479203725951069268e-15     7.8125000000e-03   grd
     73   2.46248251872737411450e-02     1.57488858368837171782e-15     7.8125000000e-03   grd
     74   2.46162178544062498764e-02     1.67518572350178244299e-15     3.9062500000e-03   grd
     75   2.46134240139374467493e-02     3.16759161024761985882e-15     6.2500000000e-02   grd
     76   2.45936882658365427168e-02     2.42706013848130748110e-15     3.9062500000e-03   grd
     77   2.45934700070155158602e-02     2.17455270937788507071e-15     3.1250000000e-02   grd
     78   2.45817770235844321181e-02     1.44202469416422933662e-15     3.9062500000e-03   grd
     79   2.45772180429011562197e-02     2.09275992743286214221e-15     3.1250000000e-02   grd
     80   2.45770722069015151723e-02     2.50895776953198150175e-15     7.8125000000e-03   grd
     81   2.45674558007778383317e-02     1.14884027013897391973e-15     3.9062500000e-03   grd
     82   2.19720846784074198832e-02     9.81228947309794555869e-16     1.0000000000e+00   new
