iter,gradnorm,tstest,alpha,dir,evalf
    0,3.16109564157097189252e+00,   -1.00000000000000000000e+00,    0.0000000000e+00,     ,  NaN
    1,5.48216223360536880627e-01,    1.15237283176802139983e-15,    1.0000000000e+00,  new,    2
    2,3.96008007646065751661e-01,    1.31178190430168644348e-14,    1.0000000000e+00,  new,    2
    3,3.47865165366459727636e-01,    3.33252986728383018390e-15,    5.0000000000e-01,  new,    3
    4,3.26528353698716689024e-01,    1.11049195611637077716e-15,    5.0000000000e-01,  new,    3
    5,3.20731058105017119431e-01,    2.71492932722458839726e-12,    6.2500000000e-02,  grd,    6
    6,2.10726681616310945744e-01,    2.38078537968154732677e-15,    5.0000000000e-01,  new,    3
    7,1.83782046637493423624e-01,    5.76712712056879319027e-15,    1.2500000000e-01,  new,    5
    8,1.50032065687792870445e-01,    2.53703955500245018682e-15,    2.5000000000e-01,  new,    4
    9,1.44634035143435785153e-01,    1.90715077793265598532e-15,    1.2500000000e-01,  new,    5
   10,1.48130410619372265835e-01,    5.93131433460272197980e-14,    7.8125000000e-03,  new,    8
   11,1.27548340943014371085e-01,    1.04197397882154822665e-15,    1.0000000000e+00,  new,    2
   12,1.20226158389451664998e-01,    1.34091417238068810994e-15,    5.0000000000e-01,  new,    3
   13,1.13200373143164487177e-01,    2.79843769708439197620e-15,    1.2500000000e-01,  new,    5
   14,7.05241486484551316494e-02,    3.77392249544284466285e-16,    1.0000000000e+00,  new,    2
   15,2.65600463352650417725e-02,    2.95079033751691644159e-16,    1.0000000000e+00,  new,    2
   16,2.61419194973287333239e-02,    6.88330363564669770276e-15,    1.5625000000e-02,  new,    8
   17,2.60724230236328846644e-02,    1.86203122740648505779e-15,    3.1250000000e-02,  new,    7
   18,2.46021391522184516842e-02,    8.53197036350068761877e-16,    1.2500000000e-01,  new,    5
   19,1.83621761057633052505e-02,    3.42497894035884945844e-16,    5.0000000000e-01,  new,    3
   20,1.40318307170059167893e-02,    4.01158391169915125254e-16,    5.0000000000e-01,  new,    3
   21,9.03368445821440928245e-03,    1.52251927938927785866e-16,    1.0000000000e+00,  new,    2
   22,3.56032941681291978039e-03,    4.41010056594874043943e-17,    1.0000000000e+00,  new,    2
   23,3.11127402193757656573e-03,    7.09312006474577301930e-17,    5.0000000000e-01,  new,    3
   24,1.43575546317898207829e-03,    4.55387453929846622023e-17,    1.0000000000e+00,  new,    2
   25,2.72209405275280872955e-04,    2.30587957234214791050e-17,    1.0000000000e+00,  new,    2
   26,9.58207192103061454361e-06,    4.48104194893044055631e-18,    1.0000000000e+00,  new,    2
   27,5.86511427099555663974e-08,    4.56384179766061756139e-19,    1.0000000000e+00,  new,    2
   28,5.68066004681326142504e-12,    4.53277818521109349196e-21,    1.0000000000e+00,  new,    2
   29,1.96198375476737203604e-14,    1.90241251508454548886e-25,    1.0000000000e+00,  new,    2
