      0   4.58968696487922311888e+00    -1.00000000000000000000e+00     0.0000000000e+00      
      1   1.16546695801131505732e+00     1.10593860647048014946e-15     1.0000000000e+00   new
      2   5.55706038230221466279e-01     5.51143180895974448074e-16     1.0000000000e+00   new
      3   2.21448779359927128141e-01     4.34912588961726843436e-16     1.0000000000e+00   new
      4   1.05978744243594685814e-01     2.45640859793239336680e-16     1.0000000000e+00   new
      5   6.89533004348088784941e-02     5.71857019777376877063e-16     1.0000000000e+00   new
      6   7.57029559781797339868e-02     3.49076722663522092373e-15     2.5000000000e-01   new
      7   3.53131613729837506854e-02     3.53994107418088932968e-16     1.0000000000e+00   new
      8   8.78355232492534707123e-03     2.55075333053025117411e-16     1.0000000000e+00   new
      9   8.76017290144990613820e-03     2.09191440307592709521e-14     1.2500000000e-01  grdl
     10   8.67016220451490710053e-03     5.83166916400881696973e-14     6.2500000000e-02  grdl
     11   8.63926969746790437976e-03     8.05758380237577142414e-14     1.2500000000e-01  grdl
     12   8.62994829546760364170e-03     4.58061382904571411658e-13     1.5625000000e-02  grdl
     13   8.62260133942686392283e-03     1.87216818219211878121e-12     7.8125000000e-03  grdt
     14   8.61923364316894737025e-03     8.74646342440294829461e-13     1.5625000000e-02  grdl
     15   8.61372461951148866988e-03     2.27775686409885509000e-13     7.8125000000e-03  grdl
     16   8.61005482131842712901e-03     2.37715624206678932950e-13     7.8125000000e-03  grdl
     17   8.60795774807602935563e-03     1.72221644390174293434e-13     1.5625000000e-02  grdl
     18   8.60337748116717614122e-03     1.04555187287506895182e-13     7.8125000000e-03  grdl
     19   8.59999484097462470189e-03     1.44005242766703880100e-13     7.8125000000e-03  grdl
     20   8.59871457580171569268e-03     1.30174508577054792399e-13     1.5625000000e-02  grdl
     21   8.59399259596337755651e-03     1.51396360029363336681e-13     7.8125000000e-03  grdl
     22   8.59055615073364524370e-03     1.14615109300587267660e-13     7.8125000000e-03  grdl
     23   8.58998287922672042194e-03     8.57196172072175653672e-14     1.5625000000e-02  grdl
     24   8.58492279458983320595e-03     4.72456027000834302231e-14     7.8125000000e-03  grdl
     25   8.58134413296770572066e-03     8.06889267618601139287e-14     7.8125000000e-03  grdl
     26   8.57844838781098711911e-03     5.44398882857050490719e-14     7.8125000000e-03  grdl
     27   8.57603485574813181880e-03     1.03351084190253942144e-13     1.5625000000e-02  grdl
     28   8.57226880169818968025e-03     4.03824457764853584808e-14     7.8125000000e-03  grdl
     29   8.56929857711403487885e-03     5.44629402162577004663e-14     7.8125000000e-03  grdl
     30   8.56730435108677031153e-03     3.95543214120933425169e-14     1.5625000000e-02  grdl
     31   8.56331114943464748179e-03     5.95691406324120374225e-14     7.8125000000e-03  grdl
     32   8.56024742892847953502e-03     4.50057214641271554846e-14     7.8125000000e-03  grdl
     33   8.55873330488140550421e-03     2.62614262299342093232e-14     1.5625000000e-02  grdl
     34   8.55446965145284163312e-03     3.58210465465561314653e-14     7.8125000000e-03  grdl
     35   8.55129222610863555520e-03     3.40420631808208668024e-14     7.8125000000e-03  grdl
     36   8.55033167805462589184e-03     6.98057974094554009096e-14     1.5625000000e-02  grdl
     37   8.54574776812087703870e-03     3.95463871220508993060e-14     7.8125000000e-03  grdl
     38   8.54243355268015890081e-03     4.39188205169047384816e-14     7.8125000000e-03  grdl
     39   8.54211319947541757036e-03     2.70014874673110166759e-14     1.5625000000e-02  grdl
     40   8.53715104536809446523e-03     6.60369731646161088379e-14     7.8125000000e-03  grdl
     41   8.53367322483461476779e-03     2.72140353235841082754e-14     7.8125000000e-03  grdl
     42   8.53087968075386809952e-03     4.46478965524811563153e-14     7.8125000000e-03  grdl
     43   8.52868650132207473114e-03     3.22521193120782383666e-14     1.5625000000e-02  grdl
     44   8.52501380658645009636e-03     4.75656811729728184202e-14     7.8125000000e-03  grdl
     45   8.52214071829572768213e-03     2.46889106175133185013e-14     7.8125000000e-03  grdl
     46   8.52036276212842641486e-03     3.05439603692144272291e-14     1.5625000000e-02  grdl
     47   8.51645868375301186293e-03     4.62282723000666690654e-14     7.8125000000e-03  grdl
     48   8.51348913502279584786e-03     3.41026147476054021879e-14     7.8125000000e-03  grdl
     49   8.51219013508336397322e-03     2.63330294305097670079e-14     1.5625000000e-02  grdl
     50   8.50801202702629495722e-03     2.12673485907122307675e-14     7.8125000000e-03  grdl
     51   8.50492628710263626202e-03     2.37502532098039459174e-14     7.8125000000e-03  grdl
     52   8.50418090763228537443e-03     1.81200565524290418337e-14     1.5625000000e-02  grdl
     53   8.49967894207469092105e-03     2.19278487455672471616e-14     7.8125000000e-03  grdl
     54   8.49645398368090339070e-03     3.30622730032801540269e-14     7.8125000000e-03  grdl
     55   8.49634966636635298454e-03     1.60265429808663993749e-14     1.5625000000e-02  grdl
     56   8.49146561330725753447e-03     2.13987632382292605497e-14     7.8125000000e-03  grdl
     57   8.48807455002108246500e-03     2.99111844558198325892e-14     7.8125000000e-03  grdl
     58   8.48537157188000365493e-03     1.93535277659395798346e-14     7.8125000000e-03  grdl
     59   8.48337943479673083080e-03     1.99694639296733320673e-14     1.5625000000e-02  grdl
     60   8.47979086584758033618e-03     2.35834904485563246605e-14     7.8125000000e-03  grdl
     61   8.47700643998354312625e-03     2.18386703598029656865e-14     7.8125000000e-03  grdl
     62   8.47542932780704326434e-03     1.87024431216243628961e-14     1.5625000000e-02  grdl
     63   8.47160656577163224956e-03     2.19420794451737886927e-14     7.8125000000e-03  grdl
     64   8.46872371956507510871e-03     2.44740982122682663605e-14     7.8125000000e-03  grdl
     65   8.46762586863782258650e-03     1.75906387341075869406e-14     1.5625000000e-02  grdl
     66   8.46352604274326278389e-03     8.85370804228767888603e-15     7.8125000000e-03  grdl
     67   8.46052496450229105096e-03     1.38398422903059857955e-14     7.8125000000e-03  grdl
     68   8.45998160264428873678e-03     2.16290464003297341437e-14     1.5625000000e-02  grdl
     69   8.45555460856650502321e-03     1.70240322312531949362e-14     7.8125000000e-03  grdl
     70   8.45241216379365861711e-03     2.90279857657385971987e-14     7.8125000000e-03  grdl
     71   8.44986192040685091253e-03     2.29601704477245686157e-14     7.8125000000e-03  grdl
     72   8.44769860967234734184e-03     2.07058053256106173444e-14     1.5625000000e-02  grdl
     73   8.44438777744101719269e-03     1.78534959613324549384e-14     7.8125000000e-03  grdl
     74   8.44176898116850808751e-03     1.48936304942443127674e-14     7.8125000000e-03  grdl
     75   8.43996569821309911008e-03     1.70602526381476068808e-14     1.5625000000e-02  grdl
     76   8.43645490652398556686e-03     2.22845126958077557055e-14     7.8125000000e-03  grdl
     77   8.43375294808546525915e-03     7.85645358242285397964e-15     7.8125000000e-03  grdl
     78   8.43236494659877801328e-03     2.03403019209789803802e-14     1.5625000000e-02  grdl
     79   8.42861730058666255849e-03     2.04356514470862424560e-14     7.8125000000e-03  grdl
     80   8.42581512645061876665e-03     1.44205880014064931072e-14     7.8125000000e-03  grdl
     81   8.42490711770462266661e-03     1.38453322261305679282e-14     1.5625000000e-02  grdl
     82   8.42087949553737939723e-03     2.21891457985017642359e-14     7.8125000000e-03  grdl
     83   8.41795719169186398845e-03     1.53428526944728349533e-14     7.8125000000e-03  grdl
     84   8.41760494716509849455e-03     1.53175213822129372735e-14     1.5625000000e-02  grdl
     85   8.41324694300016502624e-03     7.53795501037522724280e-15     7.8125000000e-03  grdl
     86   8.41018124821872603558e-03     1.36624368175489004795e-14     7.8125000000e-03  grdl
     87   8.40771119416539730596e-03     8.38561320248794148610e-15     7.8125000000e-03  grdl
     88   8.40572612960556291017e-03     1.88878257164225117246e-14     1.5625000000e-02  grdl
     89   8.40248986823207387464e-03     2.24695965923134919179e-14     7.8125000000e-03  grdl
     90   8.39994972780452354988e-03     1.57696342555660540941e-14     7.8125000000e-03  grdl
     91   8.39832484673451624968e-03     8.58308034131125935704e-15     1.5625000000e-02  grdl
     92   8.39488625961729538483e-03     1.74746596297307072559e-14     7.8125000000e-03  grdl
     93   8.39226134758707525974e-03     1.18662772477923937761e-14     7.8125000000e-03  grdl
     94   8.39105231090099025482e-03     1.37385945360837448360e-14     1.5625000000e-02  grdl
     95   8.38737427846323636838e-03     1.03525622792332358041e-14     7.8125000000e-03  grdl
     96   8.38464744728854502465e-03     1.48073871705897057820e-14     7.8125000000e-03  grdl
     97   8.38391943533421668544e-03     1.24391627410071697457e-14     1.5625000000e-02  grdl
     98   8.37995856733412224082e-03     1.05552726630018543260e-14     7.8125000000e-03  grdl
     99   8.37710978819356660852e-03     1.58340178527511978318e-14     7.8125000000e-03  grdl
    100   8.37693911500457695507e-03     6.19052428458900295364e-15     1.5625000000e-02  grdl
    101   8.37264468624081791004e-03     1.15385540037555732830e-14     7.8125000000e-03  grdl
    102   8.36965055900080676099e-03     8.60251287813136808712e-15     7.8125000000e-03  grdl
    103   8.36725563134572102031e-03     9.28728792012176528490e-15     7.8125000000e-03  grdl
    104   8.36543923481785842156e-03     7.33434536934837939254e-15     1.5625000000e-02  grdl
    105   8.36227241696725631659e-03     1.29888670773566443631e-14     7.8125000000e-03  grdl
    106   8.35980594173303670491e-03     1.02724859837912565750e-14     7.8125000000e-03  grdl
    107   8.35835012036298570515e-03     1.08407231681796531627e-14     1.5625000000e-02  grdl
    108   8.35497865324296047629e-03     1.17669587625833317510e-14     7.8125000000e-03  grdl
    109   8.35242586060907718504e-03     1.12567182745019991513e-14     7.8125000000e-03  grdl
    110   8.35138668354060663412e-03     1.72788761638673183562e-14     1.5625000000e-02  grdl
    111   8.34777320998713288913e-03     7.87546811825848749242e-15     7.8125000000e-03  grdl
    112   8.34511684987202136121e-03     6.57375928263031142283e-15     7.8125000000e-03  grdl
    113   8.34455997107903975352e-03     1.39803675030925912014e-14     1.5625000000e-02  grdl
    114   8.34066081873117808054e-03     1.82867775692618263266e-14     7.8125000000e-03  grdl
    115   8.33788073888849616544e-03     8.37563493167822572907e-15     7.8125000000e-03  grdl
    116   8.33561651032000555661e-03     1.13867989540896282381e-14     7.8125000000e-03  grdl
    117   8.33364710677352710233e-03     8.39046411247214287386e-15     1.5625000000e-02  grdl
    118   8.33071976108122613791e-03     1.18212350139869871144e-14     7.8125000000e-03  grdl
    119   8.32839529714239808211e-03     8.77852632373058805882e-15     7.8125000000e-03  grdl
    120   8.32673882537202612875e-03     8.08989550942197005209e-15     1.5625000000e-02  grdl
    121   8.32363669356544523537e-03     1.10029122381340283554e-14     7.8125000000e-03  grdl
    122   8.32123926884489710509e-03     1.15234234327898112987e-14     7.8125000000e-03  grdl
    123   8.31994396089614195178e-03     8.69835061075973824814e-15     1.5625000000e-02  grdl
    124   8.31663487477187976515e-03     8.81750011283232400675e-15     7.8125000000e-03  grdl
    125   8.31414962868723406153e-03     9.48560980436373157676e-15     7.8125000000e-03  grdl
    126   8.31327196902863913008e-03     8.29532184566086085546e-15     1.5625000000e-02  grdl
    127   8.30971832282958143556e-03     8.55510325991248685028e-15     7.8125000000e-03  grdl
    128   8.30712789632583048505e-03     9.30303396117197603735e-15     7.8125000000e-03  grdl
    129   8.30673402258998334891e-03     7.90907431243945350815e-15     1.5625000000e-02  grdl
    130   8.30289184959559327381e-03     6.18785875106269243331e-15     7.8125000000e-03  grdl
    131   8.30017596013738964689e-03     7.71338313449226560039e-15     7.8125000000e-03  grdl
    132   8.29797913616781013246e-03     4.81782623732948211545e-15     7.8125000000e-03  grdl
    133   8.29616116921430384046e-03     6.14352455545693905531e-15     1.5625000000e-02  grdl
    134   8.29329611547075483402e-03     5.12535177457242005962e-15     7.8125000000e-03  grdl
    135   8.29103775713079839405e-03     8.83771365496708943452e-15     7.8125000000e-03  grdl
    136   8.28953312477533586777e-03     7.59969082197030089533e-15     1.5625000000e-02  grdl
    137   8.28649120199538569143e-03     5.09162994407499301876e-15     7.8125000000e-03  grdl
    138   8.28415850395660020855e-03     8.25417384025674649197e-15     7.8125000000e-03  grdl
    139   8.28301580375475493545e-03     8.74982865396383344362e-15     1.5625000000e-02  grdl
    140   8.27976462492593413833e-03     4.27418577854551257095e-15     7.8125000000e-03  grdl
    141   8.27734263073111840858e-03     5.67228565060866822517e-15     7.8125000000e-03  grdl
    142   8.27661877307935521519e-03     1.36083704351051731134e-14     1.5625000000e-02  grdl
    143   8.27312047337030315175e-03     3.88845084899204732754e-15     7.8125000000e-03  grdl
    144   8.27059170938410602447e-03     3.55238514248880075081e-15     7.8125000000e-03  grdl
    145   8.27035332898897954101e-03     9.00224662870288440664e-15     1.5625000000e-02  grdl
    146   8.26656363533506341468e-03     7.82841473902971496203e-15     7.8125000000e-03  grdl
    147   8.26390768251759021135e-03     8.65270900157145936210e-15     7.8125000000e-03  grdl
    148   8.26177412952834762383e-03     7.20127935436477237730e-15     7.8125000000e-03  grdl
